Age	nKx	nDx	qx	lx	Tx	ex
0	292	34	0.1164	1.0000	37.5524	37.5524
1	247	17	0.0688	0.8836	36.5524	41.3694
2	221	7	0.0317	0.8227	35.6689	43.3533
3	206	7	0.0340	0.7967	34.8461	43.7386
4	192	9	0.0469	0.7696	34.0494	44.2420
5	179	6	0.0335	0.7335	33.2798	45.3687
6	169	6	0.0355	0.7090	32.5463	45.9075
7	157	7	0.0446	0.6838	31.8373	46.5605
8	146	0	0.0000	0.6533	31.1535	47.6867
9	144	2	0.0139	0.6533	30.5002	46.6867
10	211	2	0.0095	0.6442	29.8470	46.3301
11	204	1	0.0049	0.6381	29.2027	45.7639
12	200	1	0.0050	0.6350	28.5646	44.9844
13	196	3	0.0153	0.6318	27.9296	44.2055
14	188	4	0.0213	0.6221	27.2978	43.8770
15	178	1	0.0056	0.6089	26.6757	43.8092
16	173	2	0.0116	0.6055	26.0668	43.0510
17	168	2	0.0119	0.5985	25.4613	42.5428
18	162	1	0.0062	0.5914	24.8628	42.0434
19	158	0	0.0000	0.5877	24.2714	41.2983
20	156	1	0.0064	0.5877	23.6837	40.2983
21	148	3	0.0203	0.5839	23.0960	39.5518
22	140	0	0.0000	0.5721	22.5121	39.3494
23	133	4	0.0301	0.5721	21.9400	38.3494
24	125	0	0.0000	0.5549	21.3679	38.5076
25	118	1	0.0085	0.5549	20.8130	37.5076
26	108	0	0.0000	0.5502	20.2581	36.8196
27	106	0	0.0000	0.5502	19.7079	35.8196
28	102	0	0.0000	0.5502	19.1577	34.8196
29	96	1	0.0104	0.5502	18.6075	33.8196
30	90	0	0.0000	0.5445	18.0573	33.1651
31	86	2	0.0233	0.5445	17.5128	32.1651
32	81	2	0.0247	0.5318	16.9683	31.9071
33	72	2	0.0278	0.5187	16.4365	31.6896
34	69	0	0.0000	0.5043	15.9179	31.5664
35	68	0	0.0000	0.5043	15.4136	30.5664
36	67	0	0.0000	0.5043	14.9093	29.5664
37	67	0	0.0000	0.5043	14.4051	28.5664
38	66	1	0.0152	0.5043	13.9008	27.5664
39	64	0	0.0000	0.4966	13.3965	26.9751
40	63	0	0.0000	0.4966	12.8999	25.9751
41	63	1	0.0159	0.4966	12.4033	24.9751
42	61	1	0.0164	0.4887	11.9066	24.3618
43	55	2	0.0364	0.4807	11.4179	23.7512
44	50	0	0.0000	0.4632	10.9372	23.6097
45	48	0	0.0000	0.4632	10.4739	22.6097
46	43	1	0.0233	0.4632	10.0107	21.6097
47	41	2	0.0488	0.4525	9.5474	21.1004
48	38	1	0.0263	0.4304	9.0950	21.1312
49	35	0	0.0000	0.4191	8.6645	20.6753
50	42	1	0.0238	0.4191	8.2455	19.6753
51	38	1	0.0263	0.4091	7.8264	19.1308
52	37	0	0.0000	0.3983	7.4173	18.6208
53	37	0	0.0000	0.3983	7.0190	17.6208
54	36	0	0.0000	0.3983	6.6206	16.6208
55	32	2	0.0625	0.3983	6.2223	15.6208
56	29	1	0.0345	0.3734	5.8240	15.5955
57	27	1	0.0370	0.3606	5.4505	15.1168
58	23	0	0.0000	0.3472	5.0900	14.6597
59	23	0	0.0000	0.3472	4.7428	13.6597
60	23	1	0.0435	0.3472	4.3955	12.6597
61	19	0	0.0000	0.3321	4.0483	12.1897
62	19	1	0.0526	0.3321	3.7162	11.1897
63	18	2	0.1111	0.3146	3.3841	10.7558
64	14	0	0.0000	0.2797	3.0695	10.9753
65	13	0	0.0000	0.2797	2.7898	9.9753
66	11	0	0.0000	0.2797	2.5101	8.9753
67	10	0	0.0000	0.2797	2.2305	7.9753
68	9	1	0.1111	0.2797	1.9508	6.9753
69	7	0	0.0000	0.2486	1.6711	6.7222
70	6	1	0.1667	0.2486	1.4225	5.7222
71	3	0	0.0000	0.2072	1.1739	5.6667
72	3	0	0.0000	0.2072	0.9668	4.6667
73	3	1	0.3333	0.2072	0.7596	3.6667
74	2	0	0.0000	0.1381	0.5524	4.0000
75	2	0	0.0000	0.1381	0.4143	3.0000
76	1	0	0.0000	0.1381	0.2762	2.0000
77	1	1	1.0000	0.1381	0.1381	1.0000
